x,y,range,pos_x,pos_y,lat,lon
1365,1515,10,6.885612964630127,-7.316003799438477,-22.917117037513588,-43.16682814719401
619,1290,14,12.491570472717283,-8.514362335205078,-22.91717975800484,-43.16681473973669
1870,1401,11,6.843046188354492,-9.886353492736816,-22.91711656126861,-43.16679938964542
631,1130,21,18.61478042602539,-12.780202865600586,-22.917248265612287,-43.16676701272248
2510,1289,14,6.307829856872559,-13.959641456604004,-22.91711057316913,-43.166753816945
1585,1279,15,9.580893516540527,-11.617144584655762,-22.91714719281177,-43.166780025234
378,963,45,40.81333160400391,-24.009885787963867,-22.91749662711573,-43.16664137294934
850,1318,13,11.11477279663086,-8.700020790100098,-22.917164354137352,-43.16681266255549
2102,962,45,23.556867599487305,-39.46080780029297,-22.91730355859924,-43.16646850517117
302,1406,11,10.886018753051758,-6.108118057250977,-22.91716179479473,-43.16684166124349
194,984,39,37.49871063232422,-19.654090881347656,-22.917459542522177,-43.16669010638978
1483,905,72,48.04920196533203,-54.78669738769531,-22.91757758337397,-43.16629703627895
2794,1467,10,3.938420295715332,-10.802002906799316,-22.917084063775963,-43.16678914519012
2567,1226,16,7.030187606811523,-16.216154098510742,-22.91711865504148,-43.16672857066348
1671,1144,21,13.00245475769043,-16.612010955810547,-22.91718547387288,-43.166724141743614
458,1400,11,10.592850685119627,-6.546581268310547,-22.91715851477607,-43.16683675563584
2156,1454,10,5.578639984130859,-9.681194305419922,-22.91710241485773,-43.166801685004415
1067,1183,18,14.228551864624023,-12.6674165725708,-22.91719919167448,-43.166768274596414
734,1287,14,12.203202247619627,-8.91311264038086,-22.917176531687712,-43.1668102784444
2212,1148,20,10.280779838562012,-18.515323638916016,-22.91715502326962,-43.16670284712868
1019,838,235,179.32431030273438,-155.17420959472656,-22.91904631360822,-43.16517388219295
206,1183,18,17.701438903808594,-9.348878860473633,-22.91723804697812,-43.16680540301118
2584,1480,10,4.355527877807617,-10.17301082611084,-22.917088730452875,-43.16679618247006
741,866,121,99.95723724365234,-73.31443786621094,-22.918158340089995,-43.16608974448573
2428,1459,10,4.87353515625,-10.174163818359377,-22.91709452601428,-43.16679616957017
2304,1605,8,4.232463836669922,-8.109627723693848,-22.91708735358958,-43.1668192679825
187,1558,9,8.922661781311035,-4.655803680419922,-22.917139828393168,-43.16685791000582
1978,923,60,33.12582015991211,-51.233516693115234,-22.91741061781338,-43.16633678992288
2308,1592,9,4.294168949127197,-8.250303268432617,-22.91708804395781,-43.166817694078446
2633,879,93,37.97163772583008,-91.97806549072266,-22.917464833718125,-43.16588093236193
1182,1130,22,16.02855110168457,-15.27580738067627,-22.91721933039944,-43.16673909143678
1300,1574,9,6.491179466247559,-6.635109901428223,-22.91711262451853,-43.166835765161096
2173,1584,9,4.613804340362549,-8.097078323364258,-22.91709162009779,-43.166819408387525
2547,952,47,20.116924285888672,-45.72932815551758,-22.917265071876106,-43.16639837180404
465,1035,31,27.4329833984375,-17.02702522277832,-22.917346925300944,-43.16671949848711
372,1263,15,14.055435180664062,-8.237921714782715,-22.91719725481294,-43.16681783260557
1541,1576,9,5.971853733062744,-7.051087856292725,-22.917106814206008,-43.16683111112267
2716,1338,13,5.116645812988281,-13.201488494873049,-22.91709724598135,-43.1667622993008
1672,1287,14,9.128329277038574,-11.66952896118164,-22.917142129439217,-43.166779439147895
2519,1363,12,5.44933557510376,-12.138270378112791,-22.917100968176047,-43.16677419478208
2247,950,48,23.818115234375,-43.911617279052734,-22.91730648148617,-43.1664187086901
1917,1393,12,6.807884693145752,-10.13023281097412,-22.917116167875285,-43.16679666107842
9,1599,8,8.807544708251953,-4.095190048217773,-22.917138540442025,-43.166864182255
2097,1460,10,5.671431064605713,-9.469518661499023,-22.91710345302153,-43.16680405327074
943,1211,17,13.709355354309082,-11.340489387512209,-22.917193382807724,-43.16678312050361
2850,1431,11,4.0221099853515625,-11.540130615234377,-22.91708500011172,-43.16678088688057
414,1188,18,16.64655876159668,-10.013238906860352,-22.91722624478364,-43.16679797002789
1323,936,55,38.644439697265625,-40.04545211791992,-22.91747236115124,-43.16646196406223
1229,1525,9,7.091776847839356,-6.949729442596436,-22.91711934411332,-43.166832245139375
350,1064,27,25.012414932250977,-14.46097469329834,-22.91731984353247,-43.16674820793585
2471,1471,10,4.68341064453125,-10.07927417755127,-22.91709239886601,-43.16679723121305
2593,1209,17,7.221347332000732,-16.97901725769043,-22.917120793771897,-43.16672003560911
530,1244,16,14.115245819091797,-9.11581039428711,-22.917197923985444,-43.166808010624365
2645,1030,31,12.521484375,-30.60513687133789,-22.91718009268712,-43.16656758405828
2550,1297,14,6.076294422149658,-13.842727661132812,-22.91710798270779,-43.1667551249982
2042,983,39,21.34820556640625,-34.39859390258789,-22.9172788476792,-43.16652514215817
1786,1348,13,7.760974407196045,-10.641499519348145,-22.9171268312196,-43.16679094093176
2413,1531,9,4.42439079284668,-9.139799118041992,-22.917089500903927,-43.16680774223408
2257,1577,9,4.482470989227295,-8.319730758666992,-22.917090150715925,-43.166816917310825
1586,1347,13,8.371282577514648,-10.156598091125488,-22.91713365946048,-43.16679636609878
1247,1499,10,7.318512439727783,-7.248936176300049,-22.91712188087312,-43.16682889755901
2244,1609,8,4.330039024353027,-7.966897010803223,-22.917088445278857,-43.166820864880165
649,1587,9,7.678483963012695,-5.329258441925049,-22.91712590830122,-43.16685037526917
962,1302,14,11.126924514770508,-9.308592796325684,-22.91716449009303,-43.166805853739135
