x,y,pos_y_real,pos_y_est,precisao_y
2212.0,1148.0,-18.515323638916016,-18.333794,99.0195688591813
1019.0,838.0,-155.17420959472656,-152.90527,98.537813620477
206.0,1183.0,-9.348878860473633,-9.550804,97.84011237364851
2584.0,1480.0,-10.17301082611084,-10.098638,99.26891609071755
741.0,866.0,-73.31443786621094,-72.65901,99.1060068869563
2428.0,1459.0,-10.174163818359377,-10.100965,99.28053770842892
2304.0,1605.0,-8.109627723693848,-8.07971,99.63108396588206
187.0,1558.0,-4.655803680419922,-4.845907,95.91684821928223
1978.0,923.0,-51.233516693115234,-51.27953,99.91018988859659
2308.0,1592.0,-8.250303268432617,-8.217226,99.59907849549246
2633.0,879.0,-91.97806549072266,-96.00452,95.62237899943007
1182.0,1130.0,-15.27580738067627,-15.099284,98.84442632576355
1300.0,1574.0,-6.635109901428223,-6.6663156,99.52968896359094
2173.0,1584.0,-8.097078323364258,-8.069837,99.66356127778167
2547.0,952.0,-45.72932815551758,-46.28737,98.77968769407964
465.0,1035.0,-17.02702522277832,-17.143536,99.31573255039591
372.0,1263.0,-8.237921714782715,-8.390408,98.14897673524243
1541.0,1576.0,-7.051087856292725,-7.0640154,99.81665903957632
2716.0,1338.0,-13.201488494873049,-13.085677,99.12274022731296
1672.0,1287.0,-11.66952896118164,-11.569463,99.14250022147058
2519.0,1363.0,-12.138270378112791,-12.033413,99.13614179370846
2247.0,950.0,-43.911617279052734,-44.082783,99.61020459524217
1917.0,1393.0,-10.13023281097412,-10.062485,99.33122889643967
9.0,1599.0,-4.095190048217773,-4.308707,94.78614700387833
2097.0,1460.0,-9.469518661499023,-9.413627,99.4097694649585
943.0,1211.0,-11.340489387512209,-11.31916,99.81192234869587
2850.0,1431.0,-11.540130615234377,-11.444233,99.16900702636804
414.0,1188.0,-10.013238906860352,-10.15096,98.6246102486161
1323.0,936.0,-40.04545211791992,-39.174812,97.82587096666643
1229.0,1525.0,-6.949729442596436,-6.977421,99.60154759236234
350.0,1064.0,-14.46097469329834,-14.63229,98.81532748096392
2471.0,1471.0,-10.07927417755127,-10.0074415,99.28732311875851
2593.0,1209.0,-16.97901725769043,-16.833359,99.14212647981132
530.0,1244.0,-9.11581039428711,-9.225589,98.79573620459857
2645.0,1030.0,-30.60513687133789,-30.617365,99.96004588335492
2550.0,1297.0,-13.842727661132812,-13.717562,99.09580003020292
2042.0,983.0,-34.39859390258789,-34.19792,99.4166268824055
1786.0,1348.0,-10.641499519348145,-10.563827,99.2700938600542
2413.0,1531.0,-9.139799118041992,-9.08647,99.41651378673996
2257.0,1577.0,-8.319730758666992,-8.286011,99.5946982245265
1586.0,1347.0,-10.156598091125488,-10.091871,99.36271152064819
1247.0,1499.0,-7.248936176300049,-7.266837,99.75305419552969
2244.0,1609.0,-7.966897010803223,-7.941259,99.67819210603147
649.0,1587.0,-5.329258441925049,-5.4552875,97.63514913076953
962.0,1302.0,-9.308592796325684,-9.322212,99.85368977663333
1937.0,1088.0,-21.15767288208008,-20.920544,98.87922829345459
2118.0,836.0,-222.1710357666016,-220.87437,99.4163679471183
1623.0,1074.0,-20.72567749023437,-20.44112,98.62702995999348
1456.0,943.0,-39.17128753662109,-38.473392,98.21835049614756
2019.0,1582.0,-7.845466613769531,-7.8270693,99.76550367054645
910.0,1210.0,-11.249628067016602,-11.238195,99.89837310498648
719.0,1363.0,-7.656092643737793,-7.7414117,98.88560593273911
1337.0,1154.0,-14.843632698059082,-14.659552,98.75986504570574
