x,y,pos_x_real,pos_x_est,precisao_x
2118.0,836.0,131.25253295898438,130.75728,99.62267050742835
1623.0,1074.0,16.703481674194336,16.562437,99.1555975008664
1456.0,943.0,34.91511917114258,34.441402,98.64323322650615
2019.0,1582.0,4.941473007202148,4.9965253,98.88591356573663
910.0,1210.0,13.86849880218506,13.813564,99.60389006458799
719.0,1363.0,10.5767822265625,10.599101,99.78898270240637
1337.0,1154.0,14.205436706542969,14.074948,99.08141932989068
1980.0,1531.0,5.374363899230957,5.4218173,99.11704148876687
2250.0,1203.0,8.709990501403809,8.698472,99.86775555734879
614.0,1356.0,11.005038261413574,11.034341,99.7337347099588
